Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/,23509,4,3400.0,3864.764476206137,25.97352399970987,10354.44257800009,23020.97039431707,18.10060458111667,0.00307977448315397,3400,5300,6500,7100,8500,9300,9800,10000,10000,10000,10000
POST,/api/authenticate,2500,0,49,54.88319914959741,40.055754000150046,268.0716050003866,413.0,1.9248590519712312,0.0,49,54,58,63,81,92,100,100,170,270,270
PUT,/api/data_product/00337f90-bd8e-4fc8-8599-bb2db50d6c47/clear,3,0,2600.0,3859.8112230000274,2.7940909999415453,8936.031664000438,6791.0,0.0023098308623654773,0.0,2600,2600,8900,8900,8900,8900,8900,8900,8900,8900,8900
PUT,/api/data_product/00337f90-bd8e-4fc8-8599-bb2db50d6c47/update,66,0,620.0,1947.6628458938976,2.059582000129012,7599.889093000456,6791.30303030303,0.0508162789720405,0.0,640,2200,4300,4500,5700,6400,7500,7600,7600,7600,7600
PUT,/api/data_product/003b428f-44d5-4b35-9cfc-66787ae117be/update,10,0,7900.0,7799.672096399945,5644.28845700013,8970.131092999509,6791.5,0.007699436207884924,0.0,7900,8500,8700,8900,9000,9000,9000,9000,9000,9000,9000
PUT,/api/data_product/00406852-02dc-4069-a89f-2146f4574bc9/update,18,0,6400.0,6548.684301333271,5007.456991000254,8171.2433859993325,6791.277777777777,0.013858985174192864,0.0,6600,6800,7900,7900,8200,8200,8200,8200,8200,8200,8200
PUT,/api/data_product/008ccb80-7ce1-4eb0-91cb-c6e75a76a93c/update,1,0,8542.268264000086,8542.268264000086,8542.268264000086,8542.268264000086,6791.0,0.0007699436207884925,0.0,8500,8500,8500,8500,8500,8500,8500,8500,8500,8500,8500
PUT,/api/data_product/00a09368-bf03-4354-9719-709d6ba9ddbf/update,14,0,7400.0,7275.624187928477,5364.548305999961,8818.971851999777,6791.571428571428,0.010779210691038894,0.0,7500,7700,7900,8400,8600,8800,8800,8800,8800,8800,8800
PUT,/api/data_product/00af67cb-8159-45c3-8711-375a201144c1/update,22,0,5500.0,5791.762895500039,3545.240379000006,8675.38481199972,6791.318181818182,0.016938759657346834,0.0,5600,6200,6800,6900,7700,8600,8700,8700,8700,8700,8700
PUT,/api/data_product/00bd44c1-dec0-4af8-8f90-0e236a334336/update,15,0,6000.0,6065.6116545332225,3766.1402479998287,8545.889232999798,6791.733333333334,0.011549154311827388,0.0,6000,6400,7300,7400,8400,8500,8500,8500,8500,8500,8500
PUT,/api/data_product/00eea574-0a0a-4a31-9a84-cec52e09a2c7/clear,3,0,1900.0,2864.9344063333047,3.412278999803675,6705.3151370000705,6791.0,0.0023098308623654773,0.0,1900,1900,6700,6700,6700,6700,6700,6700,6700,6700,6700
PUT,/api/data_product/00eea574-0a0a-4a31-9a84-cec52e09a2c7/update,71,0,26,1940.2796727746506,1.8179549997512368,8305.868250000458,6791.4647887323945,0.054665997075982964,0.0,26,2800,3800,4200,6000,7800,8200,8300,8300,8300,8300
PUT,/api/data_product/01778992-818f-48eb-99fd-c3809d7b7404/clear,1,0,5047.451090000322,5047.451090000322,5047.451090000322,5047.451090000322,6791.0,0.0007699436207884925,0.0,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000
PUT,/api/data_product/01778992-818f-48eb-99fd-c3809d7b7404/update,29,0,3000.0,3174.9948538965546,3.5646970000016154,8866.798770999594,6791.551724137931,0.02232836500286628,0.0,3000,4400,4500,5700,8200,8300,8900,8900,8900,8900,8900
PUT,/api/data_product/017b665d-fdd9-4431-960d-68ca930d086c/clear,3,0,4,1116.814981000213,3.7804140001753694,3342.618242000299,6791.0,0.0023098308623654773,0.0,4,4,3300,3300,3300,3300,3300,3300,3300,3300,3300
PUT,/api/data_product/017b665d-fdd9-4431-960d-68ca930d086c/update,86,0,3,1680.2146762441776,1.9516480001584569,8674.772173999372,6791.418604651163,0.06621515138781035,0.0,4,1200,2500,4500,6100,7200,8600,8700,8700,8700,8700
PUT,/api/data_product/01899c4b-7552-4c54-a9a0-345a4f1778f3/update,1,0,8244.458762999784,8244.458762999784,8244.458762999784,8244.458762999784,6791.0,0.0007699436207884925,0.0,8200,8200,8200,8200,8200,8200,8200,8200,8200,8200,8200
PUT,/api/data_product/0197545b-6663-4437-b916-e69dc48f43ca/clear,1,0,5639.5822829999815,5639.5822829999815,5639.5822829999815,5639.5822829999815,6791.0,0.0007699436207884925,0.0,5600,5600,5600,5600,5600,5600,5600,5600,5600,5600,5600
PUT,/api/data_product/0197545b-6663-4437-b916-e69dc48f43ca/update,30,0,4000.0,4630.315900633315,720.603631999893,8912.768946000142,6791.766666666666,0.023098308623654775,0.0,4400,5900,6400,7300,8400,8800,8900,8900,8900,8900,8900
PUT,/api/data_product/01ae5553-3a95-4e4b-b98c-04b258433ffa/clear,3,0,4,989.5063783333171,3.3955859998968663,2961.5861649999715,6791.0,0.0023098308623654773,0.0,4,4,3000,3000,3000,3000,3000,3000,3000,3000,3000
PUT,/api/data_product/01ae5553-3a95-4e4b-b98c-04b258433ffa/update,88,0,4,1592.702548840939,2.0115509996685432,8214.928233000137,6791.522727272727,0.06775503862938734,0.0,5,1100,2800,3800,5600,7600,8200,8200,8200,8200,8200
PUT,/api/data_product/01d9f662-bbd2-4d35-84b0-ddf29015263a/clear,1,0,5579.044852000152,5579.044852000152,5579.044852000152,5579.044852000152,6791.0,0.0007699436207884925,0.0,5600,5600,5600,5600,5600,5600,5600,5600,5600,5600,5600
PUT,/api/data_product/01d9f662-bbd2-4d35-84b0-ddf29015263a/update,29,0,3900.0,3974.684132034499,834.5152560000315,8483.401907999905,6791.413793103448,0.02232836500286628,0.0,3900,4300,4700,5800,7200,8000,8500,8500,8500,8500,8500
PUT,/api/data_product/01e679ef-7b82-4fc3-a151-c958f9e12387/clear,2,0,3.3455820002927794,1262.8289380002116,3.3455820002927794,2522.3122940001304,6791.0,0.001539887241576985,0.0,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500
